,Unnamed: 0,tweet,hash,stopped,lemmaed
17187,17187,when you make a joke on voting the problem is they get elected so please vote wisely and vote for sure,phase5,make joke voting problem get elected please vote wisely vote sure,make joke voting problem get elected please vote wisely vote sure
17188,17188,satyanewshi,modihaitohmumkinhai,satyanewshi,satyanewshi
17189,17189,voting is not only our right it is our powerwith ma howrah india,election2019,voting right powerwith howrah india,voting right powerwith howrah india
17191,17191,digvijaya28 desh maan chuka haideshwasiyon ne har taraf modi ji ka jalwa dekha haai,modihaitohmumkinhai,digvijaya28 desh maan chuka haideshwasiyon ne har taraf modi ji ka jalwa dekha haai,digvijaya28 desh maan chuka haideshwasiyon ne har taraf modi ji ka jalwa dekha haai
17192,17192,sriniwashshukla bjp4india narendramodi myogiadityanath mpkaushal imhrastogi,votekar,sriniwashshukla bjp4india narendramodi myogiadityanath mpkaushal imhrastogi,sriniwashshukla bjp4india narendramodi myogiadityanath mpkaushal imhrastogi
17193,17193,rpbreakingnews,votinground5,rpbreakingnews,rpbreakingnews
17197,17197,dont choose modi choose your representative,votinground5,dont choose modi choose representative,dont choose modi choose representative
17201,17201,nearly all seats were held by bjp in this phase no wonder our pm go this personal and very ugly,votinground5,nearly seats held bjp phase wonder pm go personal ugly,nearly seat held bjp phase wonder pm go personal ugly
17202,17202,10am,phase5,10am,10am
17203,17203,zeebollywood yes,votekar,zeebollywood yes,zeebollywood yes
17204,17204,i voted,kbpmselfie,voted,voted
17207,17207,please remember modi can be pm only after 272 amp rahul will be pm after 120so go and vote in large numbers today,votinground5,please remember modi pm 272 amp rahul pm 120so go vote large numbers today,please remember modi pm 272 amp rahul pm 120so go vote large number today
17210,17210,vote for first time,votinground5,vote first time,vote first time
17211,17211,ommathurbjp bjp4mp,deshkipasandmodi,ommathurbjp bjp4mp,ommathurbjp bjp4mp
17213,17213,roopaspeaks,jaishriram,roopaspeaks,roopaspeaks
17214,17214,hasibaamin india wonders what were gen manekshaw amp lt jfr jacob doing 1971 while indira was liberating bangladesh,votinground5,hasibaamin india wonders gen manekshaw amp lt jfr jacob 1971 indira liberating bangladesh,hasibaamin india wonder gen manekshaw amp lt jfr jacob 1971 indira liberating bangladesh
17217,17217,kargil visuals from a polling booth in kargil,loksabhaelections2019,kargil visuals polling booth kargil,kargil visuals polling booth kargil
17219,17219,one ranjit paswan arrested on charges of vandalizing an evm machine at polling booth number 131 in chhapra ani,phase5,one ranjit paswan arrested charges vandalizing evm machine polling booth number 131 chhapra ani,one ranjit paswan arrested charge vandalizing evm machine polling booth number 131 chhapra ani
17223,17223,vote for narendramodi mamataofficial,jaishriram,vote narendramodi mamataofficial,vote narendramodi mamataofficial
17224,17224,is se kahete ha desh ki izzat krwana dol langade bazane se izzat milti mazk hi banti ha,shameonpmmodi,se kahete ha desh ki izzat krwana dol langade bazane se izzat milti mazk hi banti ha,se kahete ha desh ki izzat krwana dol langade bazane se izzat milti mazk hi banti ha
17225,17225,zeenewshindi jyoti,votinground5,zeenewshindi jyoti,zeenewshindi jyoti
17226,17226,druditraj sheiladikshit please watch the interview of the prime minister dormant up to 23 may 19,modionindiatv,druditraj sheiladikshit please watch interview prime minister dormant 23 may 19,druditraj sheiladikshit please watch interview prime minister dormant 23 may 19
17228,17228,people will decide the margin says rajnath singh after voting in raviranjanin rajnathsinghin,lucknow,people decide margin says rajnath singh voting raviranjanin rajnathsinghin,people decide margin say rajnath singh voting raviranjanin rajnathsinghin
17229,17229,rajiv gandhi is why i am alive a remarkable story in atal bihari vajpayees words,shameonpmmodi,rajiv gandhi alive remarkable story atal bihari vajpayees words,rajiv gandhi alive remarkable story atal bihari vajpayees word
17231,17231,how bjp looted india,shameonpmmodi,bjp looted india,bjp looted india
17233,17233,narendramodi ecisveep,votekar,narendramodi ecisveep,narendramodi ecisveep
17234,17234,sampitroda was responsible for many misadventures like kashmiri hindus killing and exodus sikh massacre,rajivgandhichorhai,sampitroda responsible many misadventures like kashmiri hindus killing exodus sikh massacre,sampitroda responsible many misadventure like kashmiri hindu killing exodus sikh massacre
17236,17236,zeenews,votinground5,zeenews,zeenews
17239,17239,zeenews pahle matdaan fir jalpaan,votinground5,zeenews pahle matdaan fir jalpaan,zeenews pahle matdaan fir jalpaan
17243,17243,vote for namo,votinground5,vote namo,vote namo
17245,17245,pappu ka baap pappu se bhi bara pappu tha,rajivgandhichorhai,pappu ka baap pappu se bhi bara pappu tha,pappu ka baap pappu se bhi bara pappu tha
17246,17246,rahulgandhi is rigging elections smritiirani ecisveep,amethi,rahulgandhi rigging elections smritiirani ecisveep,rahulgandhi rigging election smritiirani ecisveep
17249,17249,bdutt rahulgandhi chowkidar pure hairahul ka baap chor hai,rajivgandhichorhai,bdutt rahulgandhi chowkidar pure hairahul ka baap chor hai,bdutt rahulgandhi chowkidar pure hairahul ka baap chor hai
17250,17250,its no secret every indians accept,rajivgandhichorhai,secret every indians accept,secret every indian accept
17251,17251,zeenews,votinground5,zeenews,zeenews
17252,17252,1 for rahulgandhi,rajivgandhichorhai,1 rahulgandhi,1 rahulgandhi
17253,17253,digvijaya28 desh maan chuka haideshwasiyon ne har taraf modi ji ka jalwa dekha haai,modihaitohmumkinhai,digvijaya28 desh maan chuka haideshwasiyon ne har taraf modi ji ka jalwa dekha haai,digvijaya28 desh maan chuka haideshwasiyon ne har taraf modi ji ka jalwa dekha haai
17254,17254,ani ecisveep should cancel the candidature of the party candidate whosoever party is involved in this,votekar,ani ecisveep cancel candidature party candidate whosoever party involved,ani ecisveep cancel candidature party candidate whosoever party involved
17255,17255,one stoops to conquerthe son offers him a hug,shameonpmmodi,one stoops conquerthe son offers hug,one stoop conquerthe son offer hug
17256,17256,zeenewshindi sachinarorra,votinground5,zeenewshindi sachinarorra,zeenewshindi sachinarorra
17257,17257,shamefull that smriti irani jhoothi degree bata kar election ladati hain,amethi,shamefull smriti irani jhoothi degree bata kar election ladati hain,shamefull smriti irani jhoothi degree bata kar election ladati hain
17258,17258,abpnewstv i voted narendramodi myogiadityanath,kbpmselfie,abpnewstv voted narendramodi myogiadityanath,abpnewstv voted narendramodi myogiadityanath
17259,17259,vote for nation,loksabhaelections2019,vote nation,vote nation
17262,17262,lucknow,kbpmselfie,lucknow,lucknow
17263,17263,it is my first time voting for loksabha election hm ayodhyavasi chitraaum,loksabhaelections2019,first time voting loksabha election hm ayodhyavasi chitraaum,first time voting loksabha election hm ayodhyavasi chitraaum
17266,17266,zeenews,votinground5,zeenews,zeenews
17268,17268,abpnewshindijyoti,kbpmselfie,abpnewshindijyoti,abpnewshindijyoti
17269,17269,i have voted feeling proud ecisveep,gotinked,voted feeling proud ecisveep,voted feeling proud ecisveep
17270,17270,mera vote mera adhikar,kbpmselfie,mera vote mera adhikar,mera vote mera adhikar
17271,17271,abpnewshindi,kbpmselfie,abpnewshindi,abpnewshindi
17273,17273,any doubts,rajivgandhichorhai,doubts,doubt
17275,17275,expectation reality,phase5,expectation reality,expectation reality
17277,17277,manish bagri,kbpmselfie,manish bagri,manish bagri
17278,17278,starvation deaths in andhra pradesh two kids die eating mud for food,shameonpmmodi,starvation deaths andhra pradesh two kids die eating mud food,starvation death andhra pradesh two kid die eating mud food
17279,17279,still remain poor with gandhi parivar in power,amethi,still remain poor gandhi parivar power,still remain poor gandhi parivar power
17281,17281,drsunandambal timesnow,rajivgandhichorhai,drsunandambal timesnow,drsunandambal timesnow
17282,17282,ubsanath snsachinnandu smritiirani will win for sure by how much margin is something to be seen my guess 1 lakh votes,amethi,ubsanath snsachinnandu smritiirani win sure much margin something seen guess 1 lakh votes,ubsanath snsachinnandu smritiirani win sure much margin something seen guess 1 lakh vote
17283,17283,1 vote modi k namvikas k nam jaipur rural rathore,votekar,1 vote modi k namvikas k nam jaipur rural rathore,1 vote modi k namvikas k nam jaipur rural rathore
17285,17285,we vote for new india,kbpmselfie,vote new india,vote new india
17286,17286,here is the voter turnout till 9 amfollow for updates,phase5,voter turnout till 9 amfollow updates,voter turnout till 9 amfollow update
17287,17287,51 seats can we give nda 45 can we give bjp 40 retweet to agree,phase5,51 seats give nda 45 give bjp 40 retweet agree,51 seat give nda 45 give bjp 40 retweet agree
17288,17288,sirf modi modi hi sunayi de raha hai,phase5,sirf modi modi hi sunayi de raha hai,sirf modi modi hi sunayi de raha hai
17289,17289,rajyavardhan singh rathore wife gayatri rathore cast their votes,loksabhaelections2019,rajyavardhan singh rathore wife gayatri rathore cast votes,rajyavardhan singh rathore wife gayatri rathore cast vote
17290,17290,rishibagree mamataofficial most non violent state if all vote for tmc,jaishriram,rishibagree mamataofficial non violent state vote tmc,rishibagree mamataofficial non violent state vote tmc
17291,17291,ramykrish kanimozhi dont become complacent every vote counts,votekar,ramykrish kanimozhi dont become complacent every vote counts,ramykrish kanimozhi dont become complacent every vote count
17293,17293,gali gali mein shor hai rajiv gandhi chor hai,rajivgandhichorhai,gali gali mein shor hai rajiv gandhi chor hai,gali gali mein shor hai rajiv gandhi chor hai
17294,17294,barrackpore police is behaving as trinamool cadre after bjp cpm candidate has altercation with them,phase5,barrackpore police behaving trinamool cadre bjp cpm candidate altercation,barrackpore police behaving trinamool cadre bjp cpm candidate altercation
17298,17298,nitishkumar bjp4bihar pmoindia narendramodi,phase5,nitishkumar bjp4bihar pmoindia narendramodi,nitishkumar bjp4bihar pmoindia narendramodi
17300,17300,a trinamool goon named maharaja nag is forcing an old lady to vote for trinamool,phase5,trinamool goon named maharaja nag forcing old lady vote trinamool,trinamool goon named maharaja nag forcing old lady vote trinamool
17302,17302,done voting with my family for better india,kbpmselfie,done voting family better india,done voting family better india
17304,17304,rahulgandhi tera baap chor hai,rajivgandhichorhai,rahulgandhi tera baap chor hai,rahulgandhi tera baap chor hai
17305,17305,zeenewshindi dr swaroop singh rathur and her wife,votinground5,zeenewshindi dr swaroop singh rathur wife,zeenewshindi dr swaroop singh rathur wife
17308,17308,on times now rss is begging for peace featuring my favourite political analyst nishant varma,phase5,times rss begging peace featuring favourite political analyst nishant varma,time r begging peace featuring favourite political analyst nishant varma
17309,17309,rabies i wish someone had asked him to write,rajivgandhichorhai,rabies wish someone asked write,rabies wish someone asked write
17310,17310,ecisveep first time voting,gotinked,ecisveep first time voting,ecisveep first time voting
17314,17314,its veryy clear that and so whats wrong and shameful when someone calls chor as chor,rajivgandhichorhai,veryy clear whats wrong shameful someone calls chor chor,veryy clear whats wrong shameful someone call chor chor
17315,17315,vote for modi namo again 23 may 2019,votinground5,vote modi namo 23 may 2019,vote modi namo 23 may 2019
17316,17316,jammu and kashmir visuals from a polling booth in kargil ladakh lok sabha seat,loksabhaelections2019,jammu kashmir visuals polling booth kargil ladakh lok sabha seat,jammu kashmir visuals polling booth kargil ladakh lok sabha seat
17321,17321,this is enough evidence rahulgandhi,rajivgandhichorhai,enough evidence rahulgandhi,enough evidence rahulgandhi
17322,17322,my first vote for modi,votinground5,first vote modi,first vote modi
17328,17328,milinddeora pmoindia,shameonpmmodi,milinddeora pmoindia,milinddeora pmoindia
17332,17332,release 7 innocents,rajivgandhichorhai,release 7 innocents,release 7 innocent
17333,17333,lets vote fatehpur sarthakftp,loksabhaelections2019,lets vote fatehpur sarthakftp,let vote fatehpur sarthakftp
17338,17338,hi mamta,jaishriram,hi mamta,hi mamta
17339,17339,so is it how is hacked rahulgandhi,evm,hacked rahulgandhi,hacked rahulgandhi
17340,17340,smritiirani will win,votekar,smritiirani win,smritiirani win
17341,17341,chitraaum aajtak,votekar,chitraaum aajtak,chitraaum aajtak
17342,17342,sardesairajdeep no media reports from you on mamta threatening to peoples for chanting,jaishriram,sardesairajdeep media reports mamta threatening peoples chanting,sardesairajdeep medium report mamta threatening people chanting
17345,17345,zeenewshindi,votinground5,zeenewshindi,zeenewshindi
17346,17346,initiative at mit aurangabad urban native dense forest creation,greenaurangabadmission,initiative mit aurangabad urban native dense forest creation,initiative mit aurangabad urban native dense forest creation
17347,17347,dilipda60259821 bjp4india,deshkipasandmodi,dilipda60259821 bjp4india,dilipda60259821 bjp4india
17348,17348,khemrajmeena227 narendramodi,votinground5,khemrajmeena227 narendramodi,khemrajmeena227 narendramodi
17349,17349,just for you didi,jaishriram,didi,didi
17350,17350,amitshah bats for kirronkherbjp bjp4chandigarh,loksabhaelections2019,amitshah bats kirronkherbjp bjp4chandigarh,amitshah bat kirronkherbjp bjp4chandigarh
17351,17351,rajiv gandhi not only choor but also a no one mobluncher,rajivgandhichorhai,rajiv gandhi choor also one mobluncher,rajiv gandhi choor also one mobluncher
17354,17354,253 lakh crores worth national assets sold under modi govtvote out anti national bjp,phase5,253 lakh crores worth national assets sold modi govtvote anti national bjp,253 lakh crore worth national asset sold modi govtvote anti national bjp
17356,17356,sanjay,kbpmselfie,sanjay,sanjay
17358,17358,zeenews vote for nation and nation need namo,votinground5,zeenews vote nation nation need namo,zeenews vote nation nation need namo
17359,17359,do vote exercise this priceless right,votinground5,vote exercise priceless right,vote exercise priceless right
17360,17360,mamataofficial himamta,jaishriram,mamataofficial himamta,mamataofficial himamta
17361,17361,e pm modi insulting oppn says exunion minister anandsharmainc via thetribunechd,loksabhaelections2019,e pm modi insulting oppn says exunion minister anandsharmainc via thetribunechd,e pm modi insulting oppn say exunion minister anandsharmainc via thetribunechd
17362,17362,the fifth phase of amp the big bouts via timesofindia,danceofdemocracy,fifth phase amp big bouts via timesofindia,fifth phase amp big bout via timesofindia
17363,17363,omikhuntale really,rajivgandhichorhai,omikhuntale really,omikhuntale really
17365,17365,antibjp voters are not vocal about their opinions,loksabhaelections2019,antibjp voters vocal opinions,antibjp voter vocal opinion
17366,17366,jmscindia,mainhindustanhoon,jmscindia,jmscindia
17368,17368,saikatd,hargharmodikesaath,saikatd,saikatd
17369,17369,mamataofficial chinnappaksd,jaishriram,mamataofficial chinnappaksd,mamataofficial chinnappaksd
17374,17374,this is the only way left for rahulgandhi to win amethi smritiirani,phase5,way left rahulgandhi win amethi smritiirani,way left rahulgandhi win amethi smritiirani
17376,17376,midhunpm477 muraliks11,rajivgandhichorhai,midhunpm477 muraliks11,midhunpm477 muraliks11
17378,17378,zeenewshindi voting done right with my 90 year old grandfather grandmother and father,votinground5,zeenewshindi voting done right 90 year old grandfather grandmother father,zeenewshindi voting done right 90 year old grandfather grandmother father
17379,17379,salmansoz this rascal now wants sympathy votes for a corrupt leader like rajiv so desperate salman,rajivgandhichorhai,salmansoz rascal wants sympathy votes corrupt leader like rajiv desperate salman,salmansoz rascal want sympathy vote corrupt leader like rajiv desperate salman
17383,17383,our firstvote,selfiewithink,firstvote,firstvote
17389,17389,abpnewstv,kbpmselfie,abpnewstv,abpnewstv
17390,17390,mahagathbandhan,loksabhaelections2019,mahagathbandhan,mahagathbandhan
17391,17391,vote foe nation,votinground5,vote foe nation,vote foe nation
17393,17393,namo again,harboothparmodi,namo,namo
17395,17395,time to vote against the mahamilavattime to vote for a strong decisive govttime to vote for narendramodi,phase5,time vote mahamilavattime vote strong decisive govttime vote narendramodi,time vote mahamilavattime vote strong decisive govttime vote narendramodi
17397,17397,namo again,votinground5,namo,namo
17399,17399,narendramodi,harboothparmodi,narendramodi,narendramodi
17405,17405,sushilmodi isi karan koi n ho rahi,karjbahi,sushilmodi isi karan koi n ho rahi,sushilmodi isi karan koi n ho rahi
17406,17406,vidyaraj51,shameonpmmodi,vidyaraj51,vidyaraj51
17407,17407,i think this guy took the a little too seriously,modihaitohmumkinhai,think guy took little seriously,think guy took little seriously
17408,17408,aitcofficial mamataofficial didi,jaishriram,aitcofficial mamataofficial didi,aitcofficial mamataofficial didi
17409,17409,abpmajhatv asa pantapradhan bharatachya nashini aala he durdaiva,shameonpmmodi,abpmajhatv asa pantapradhan bharatachya nashini aala durdaiva,abpmajhatv asa pantapradhan bharatachya nashini aala durdaiva
17410,17410,abpmajhatv asa pantapradhan bharatachya nashini aala he durdaiva,shameonpmmodi,abpmajhatv asa pantapradhan bharatachya nashini aala durdaiva,abpmajhatv asa pantapradhan bharatachya nashini aala durdaiva
17412,17412,dravsriv drpwndutta sonikasdutta narendramodi bjp4india,hargharmodikesaath,dravsriv drpwndutta sonikasdutta narendramodi bjp4india,dravsriv drpwndutta sonikasdutta narendramodi bjp4india
17413,17413,shuklapinku,rajivgandhichorhai,shuklapinku,shuklapinku
17414,17414,nomoskar didi mamataofficial keep your cool with dohi misti and say loudly,jaishriram,nomoskar didi mamataofficial keep cool dohi misti say loudly,nomoskar didi mamataofficial keep cool dohi misti say loudly
17415,17415,sapna3 narendramodi,hargharmodikesaath,sapna3 narendramodi,sapna3 narendramodi
17417,17417,mamataofficial,jaishriram,mamataofficial,mamataofficial
17418,17418,vote for development,votinground5,vote development,vote development
17419,17419,bjp4bengal narendramodi,deshkipasandmodi,bjp4bengal narendramodi,bjp4bengal narendramodi
17420,17420,mprakeshsingh aayega to modi,harboothparmodi,mprakeshsingh aayega modi,mprakeshsingh aayega modi
17421,17421,phase 5 40 voter turnout recorded till 1 pm,loksabhaelections2019,phase 5 40 voter turnout recorded till 1 pm,phase 5 40 voter turnout recorded till 1 pm
17423,17423,nirajntsh 1977 morarji desai was the pm he is from janata party janasangh was part of it,harboothparmodi,nirajntsh 1977 morarji desai pm janata party janasangh part,nirajntsh 1977 morarji desai pm janata party janasangh part
17424,17424,chor family,rahulkabaapchorhain,chor family,chor family
17425,17425,ke gunde hain,harboothparmodi,ke gunde hain,ke gunde hain
17426,17426,ecisveep is controlled by pm modi so obviously,harboothparmodi,ecisveep controlled pm modi obviously,ecisveep controlled pm modi obviously
17427,17427,this can be attributed to her vote bank politics she is bound to lose in these elections pm narendramodi,harboothparmodi,attributed vote bank politics bound lose elections pm narendramodi,attributed vote bank politics bound lose election pm narendramodi
17428,17428,selfiewithink,selfiewithink,selfiewithink,selfiewithink
17429,17429,india become peaceful nation in the congress era and a voilent intolerant in bjp era,mainhindustanhoon,india become peaceful nation congress era voilent intolerant bjp era,india become peaceful nation congress era voilent intolerant bjp era
17430,17430,chitraaum ek vote desh ko badal sakta h,votekaro,chitraaum ek vote desh ko badal sakta h,chitraaum ek vote desh ko badal sakta h
17433,17433,modis level is zero in front of great historic visionaries like rajiv gandhi,shameonpmmodi,modis level zero front great historic visionaries like rajiv gandhi,modis level zero front great historic visionary like rajiv gandhi
17435,17435,sampathkundapur how this statement is related to and srilanka balst,harboothparmodi,sampathkundapur statement related srilanka balst,sampathkundapur statement related srilanka balst
17439,17439,good going,election2019,good going,good going
17444,17444,demands for repoll after violence in barrackpore bangaon howrah in west bengal,votinground5,demands repoll violence barrackpore bangaon howrah west bengal,demand repoll violence barrackpore bangaon howrah west bengal
17445,17445,first time voter zeenewshindi,votinground5,first time voter zeenewshindi,first time voter zeenewshindi
17446,17446,sitapur lok sabha constituency of uttar pradesh full list of candidates,votinground5,sitapur lok sabha constituency uttar pradesh full list candidates,sitapur lok sabha constituency uttar pradesh full list candidate
17447,17447,anitamishra14 sarojmi86385397,jaishriram,anitamishra14 sarojmi86385397,anitamishra14 sarojmi86385397
17449,17449,struggler89 misssingh16 acharyapramodk 4l vote se rajnathsingh ki jeet pakki hai ab to,harboothparmodi,struggler89 misssingh16 acharyapramodk 4l vote se rajnathsingh ki jeet pakki hai ab,struggler89 misssingh16 acharyapramodk 4l vote se rajnathsingh ki jeet pakki hai ab
17450,17450,drharshvardhan,harboothparmodi,drharshvardhan,drharshvardhan
17455,17455,bdutt rahulgandhi,rajivgandhichorhai,bdutt rahulgandhi,bdutt rahulgandhi
17458,17458,timings gadbad ho gai kia rajiv gandhi wale comment ki,rajivgandhichorhai,timings gadbad ho gai kia rajiv gandhi wale comment ki,timing gadbad ho gai kia rajiv gandhi wale comment ki
17459,17459,anandsharmainc sir is this true,rajivgandhichorhai,anandsharmainc sir true,anandsharmainc sir true
17460,17460,jab desh ajad hua gehu lhane ke liye nahi tha congress sarkar ne atam nibhar banaya hame gehu utpadan main,mainhindustanhoon,jab desh ajad hua gehu lhane ke liye nahi tha congress sarkar ne atam nibhar banaya hame gehu utpadan main,jab desh ajad hua gehu lhane ke liye nahi tha congress sarkar ne atam nibhar banaya hame gehu utpadan main
17461,17461,riarevealed tehseenp true rahulgandhi ki,amethi,riarevealed tehseenp true rahulgandhi ki,riarevealed tehseenp true rahulgandhi ki
17462,17462,lodhagautam shuklapinku rahulgandhi priyankagandhi,rajivgandhichorhai,lodhagautam shuklapinku rahulgandhi priyankagandhi,lodhagautam shuklapinku rahulgandhi priyankagandhi
17463,17463,vineet24 rajnathsinghin,loksabhaelections2019,vineet24 rajnathsinghin,vineet24 rajnathsinghin
17464,17464,vivekagnihotri,rahulkabaapchorhain,vivekagnihotri,vivekagnihotri
17465,17465,vipin123panwar narendramodi,hargharmodikesaath,vipin123panwar narendramodi,vipin123panwar narendramodi
17466,17466,i voted for a prosperous newindia bharat mata ki jay,phase5,voted prosperous newindia bharat mata ki jay,voted prosperous newindia bharat mata ki jay
17468,17468,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17469,17469,rubikaliyaquat rubikaliyaquat tajinderbagga kapilmishraind,modihaitohmumkinhai,rubikaliyaquat rubikaliyaquat tajinderbagga kapilmishraind,rubikaliyaquat rubikaliyaquat tajinderbagga kapilmishraind
17470,17470,please act against mamataofficial amp her party this booth capturing,electioncommissionofindia,please act mamataofficial amp party booth capturing,please act mamataofficial amp party booth capturing
17471,17471,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17472,17472,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17473,17473,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17474,17474,bjp4india,hargharmodikesaath,bjp4india,bjp4india
17475,17475,shri amit shah addresses public metting in bettiah bihar,harboothparmodi,shri amit shah addresses public metting bettiah bihar,shri amit shah address public metting bettiah bihar
17476,17476,mera vote meri takat,selfiewithink,mera vote meri takat,mera vote meri takat
17477,17477,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17478,17478,kuch bhi ker le isbar inki lanka lagne wali hai,abkibaarmodisarkar,kuch bhi ker le isbar inki lanka lagne wali hai,kuch bhi ker le isbar inki lanka lagne wali hai
17480,17480,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17481,17481,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17482,17482,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17483,17483,barrackpore lok sabha constituency of west bengal full list of candidates,votinground5,barrackpore lok sabha constituency west bengal full list candidates,barrackpore lok sabha constituency west bengal full list candidate
17484,17484,vote 4 indian democracy,voteforindia,vote 4 indian democracy,vote 4 indian democracy
17485,17485,nice line,voteforindia,nice line,nice line
17487,17487,tejashwi yadav terms pm modis remark against rajiv gandhi as atrocious,votinground5,tejashwi yadav terms pm modis remark rajiv gandhi atrocious,tejashwi yadav term pm modis remark rajiv gandhi atrocious
17488,17488,modifornewindia,harboothparmodi,modifornewindia,modifornewindia
17490,17490,live shri amitshah ji is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah ji addressing public meeting bettiah bihar,live shri amitshah ji addressing public meeting bettiah bihar
17491,17491,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17492,17492,some places having vvpat printing issues,phase5,places vvpat printing issues,place vvpat printing issue
17493,17493,vaibhavaap ho to rha h,rajivgandhichorhai,vaibhavaap ho rha h,vaibhavaap ho rha h
17495,17495,be still my beating heart,indiaelections2019,still beating heart,still beating heart
17496,17496,the desperation of mamataofficial is out in open hence the poll violence,phase5,desperation mamataofficial open hence poll violence,desperation mamataofficial open hence poll violence
17497,17497,smitaprakash do you think she voted for sp rather than sp she must have voted for anybody,phase5,smitaprakash think voted sp rather sp must voted anybody,smitaprakash think voted sp rather sp must voted anybody
17498,17498,digshukladon008 papu of pakistan nishantchat,loksabhaelections2019,digshukladon008 papu pakistan nishantchat,digshukladon008 papu pakistan nishantchat
17499,17499,ani vote for modi,harboothparmodi,ani vote modi,ani vote modi
17501,17501,riseofburnol,jaishriram,riseofburnol,riseofburnol
17502,17502,narendramodi is going to release on 24th maywhat can be a good farewell,votinground5,narendramodi going release 24th maywhat good farewell,narendramodi going release 24th maywhat good farewell
17503,17503,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17504,17504,zeenewshindi zeebusiness,votinground5,zeenewshindi zeebusiness,zeenewshindi zeebusiness
17505,17505,ani vote for modiji,harboothparmodi,ani vote modiji,ani vote modiji
17506,17506,dont repeat 2004 go out and vote,harboothparmodi,dont repeat 2004 go vote,dont repeat 2004 go vote
17507,17507,psahibsingh,harboothparmodi,psahibsingh,psahibsingh
17508,17508,sir americai who is in the video talking so high of,rajivgandhichorhai,sir americai video talking high,sir americai video talking high
17512,17512,narendramodi,deshkipasandmodi,narendramodi,narendramodi
17514,17514,vote,votekar,vote,vote
17515,17515,voting duty done,firsttimevoter,voting duty done,voting duty done
17517,17517,hooghly lok sabha constituency of west bengal full list of candidates,votinground5,hooghly lok sabha constituency west bengal full list candidates,hooghly lok sabha constituency west bengal full list candidate
17518,17518,indiatvnews,votinground5,indiatvnews,indiatvnews
17519,17519,how one of indias poorest states evacuated a million people to avoid calamity from cyclone fani,mainhindustanhoon,one indias poorest states evacuated million people avoid calamity cyclone fani,one india poorest state evacuated million people avoid calamity cyclone fani
17520,17520,indias heartland states vote in fifth phase of elections,indiaelections2019,indias heartland states vote fifth phase elections,india heartland state vote fifth phase election
17521,17521,mundaarjun all the best for ur win in advance sir,loksabhaelections2019,mundaarjun best ur win advance sir,mundaarjun best ur win advance sir
17523,17523,what a fucked political party is this is how she is going to save our constitution,tmc,fucked political party going save constitution,fucked political party going save constitution
17528,17528,read between the lines,loksabhaelections2019,read lines,read line
17529,17529,live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah addressing public meeting bettiah bihar,live shri amitshah addressing public meeting bettiah bihar
17530,17530,narendramodi yes sir i am feeling super happy and excited after voting,myfirstvoteformodi,narendramodi yes sir feeling super happy excited voting,narendramodi yes sir feeling super happy excited voting
17532,17532,jammu and kashmir from a polling booth in pampore area of pulwama anantnag lok sabha seat photo by zia shakeel,loksabhaelections2019,jammu kashmir polling booth pampore area pulwama anantnag lok sabha seat photo zia shakeel,jammu kashmir polling booth pampore area pulwama anantnag lok sabha seat photo zia shakeel
17533,17533,incindia,mainhindustanhoon,incindia,incindia
17534,17534,difference between two government,mainhindustanhoon,difference two government,difference two government
17536,17536,voters choose poll boycott to protest lack of amenities,loksabhaelections2019,voters choose poll boycott protest lack amenities,voter choose poll boycott protest lack amenity
17537,17537,sachinpilot,mainhindustanhoon,sachinpilot,sachinpilot
17538,17538,smritiirani amitshah ecisveep sardesairajdeep bdutt aisitaisidemo wild wild east,aisitaisisdemocracy,smritiirani amitshah ecisveep sardesairajdeep bdutt aisitaisidemo wild wild east,smritiirani amitshah ecisveep sardesairajdeep bdutt aisitaisidemo wild wild east
